,text,loglikelihood
0,this,-2.2483854547127438
1,be,-2.247849899409404
2,not,-2.3358740651294827
3,creative,-3.40118327176744
4,those,-2.520209211818185
5,the,-2.681699931887719
6,dictionary,-3.102327898717534
7,definition,-3.5553339515946987
8,of,-2.6874710825077712
9,term,-3.2271035198685896
10,insurance,-2.833199234161501
11,and,-2.1256563282978362
12,ensurance,-1.0985981787733947
13,a,-2.128466523868578
14,properly,-2.5156641985600388
15,apply,-2.7233035633382836
16,to,-2.5384178448097443
17,destruction,-3.044508327828708
18,if,-2.660900331177004
19,you,-0.7628786450753613
20,dont,-1.5087976031278316
21,understand,-2.5214196101306596
22,that,-2.5717844156624814
23,fine,-2.207260803295006
24,legitimate,-2.390276563518436
25,criticism,-2.790790052236407
26,ill,-1.969687803717935
27,write,-2.4842610273999264
28,up,-0.9311536978530741
29,three,-3.258082428126767
30,man,-1.284581785173864
31,cell,-2.420354018755714
32,bounty,-0.9162766219794399
33,hunter,-3.1780397204532305
34,then,-2.3280176487604947
35,it,-2.544705559500065
36,will,-2.044922060934931
37,easy,-3.140900173503774
38,why,-2.089035596724739
39,ensure,-2.420354018755714
40,insured,-1.6094238025393852
41,different,-3.515451365316379
42,both,-2.8875045790190432
43,differ,-2.5257145344135403
44,from,-2.7801907953903746
45,assure,-1.5475483988212977
46,sentence,-3.580413635991722
47,quote,-2.631690245415285
48,absolutely,-1.9095283949897233
49,neutral,-3.1388190072999493
50,just,-2.1553825425263407
51,arent,-1.8234940576479204
52,familiar,-2.5776742733442513
53,with,-2.2284827346169735
54,underlie,-2.079427431785121
55,theory,-3.5263464147214463
56,strikeback,-0.6931330706652302
57,eg,-3.4275005800848137
58,submarine,-1.6094238025393852
59,employ,-2.3272635956897023
60,in,-2.8274464776038104
61,nuclear,-3.068038825238902
62,warfare,-3.1780397204532305
63,guide,-4.356694716794877
64,nor,-2.6270670286738276
65,likely,-3.291182376553112
66,structure,-3.8815496880487226
67,kept,-3.4094820745821353
68,ira,-2.6567427968199446
69,broken,-2.0074539321600313
70,by,-2.6493861581217746
71,british,-3.0626576463343853
72,thats,-2.006947859274737
73,my,-1.6653106360250853
74,fault,-1.366862165368074
75,i,-1.6521028649659038
76,can,-1.9875310118121756
77,fix,-2.9330825926677906
78,explain,-2.7529874790697613
79,but,-2.714149442012787
80,there,-2.859728394559174
81,nothing,-1.690112713789528
82,personal,-1.959409758327321
83,or,-2.635165993538676
84,about,-2.2894506636872354
85,im,-2.005445555085825
86,tire,-1.729225002352006
87,argue,-3.063376812133091
88,re,-2.7838741675989995
89,other,-2.798107914350231
90,article,-3.0260653200485677
91,multiparty,-1.3862802512251755
92,turn,-2.2533807389085587
93,plenty,-2.5649352475668215
94,more,-2.8394585199571973
95,use,-3.016765817776091
96,mutually,-1.3862802512251755
97,than,-2.364470482912647
98,mutual,-2.708036091207495
99,your,-1.4369297279847908
100,standard,-2.5764076487290586
101,id,-3.3993297031181173
102,move,-3.2071264587550647
103,talk,-2.2226923039671282
